Uid,Sid,Key,Time,Value,UpdateTime
8283944169,764345307,calories,1749470940,"{""time"":1749470940,""calories"":3}",1749494665
8283944169,764345307,steps,1749470880,"{""time"":1749470880,""steps"":29,""distance"":18,""calories"":1}",1749494665
8283944169,764345307,calories,1749470880,"{""time"":1749470880,""calories"":1}",1749494665
8283944169,764345307,intensity,1749470880,"{""time"":1749470880}",1749494665
8283944169,764345307,heart_rate,1749470880,"{""time"":1749470880,""bpm"":87}",1749494665
8283944169,764345307,calories,1749470820,"{""time"":1749470820,""calories"":6}",1749494665
8283944169,764345307,intensity,1749470820,"{""time"":1749470820}",1749494665
8283944169,764345307,heart_rate,1749470820,"{""time"":1749470820,""bpm"":134}",1749494665
8283944169,764345307,steps,1749470820,"{""time"":1749470820,""steps"":136,""distance"":86,""calories"":6}",1749494665
8283944169,764345307,calories,1749470760,"{""time"":1749470760,""calories"":9}",1749494665
8283944169,764345307,steps,1749470760,"{""time"":1749470760,""steps"":157,""distance"":99,""calories"":9}",1749494665
8283944169,764345307,heart_rate,1749470760,"{""time"":1749470760,""bpm"":142}",1749494665
8283944169,764345307,intensity,1749470760,"{""time"":1749470760}",1749494665
8283944169,764345307,steps,1749470700,"{""time"":1749470700,""steps"":153,""distance"":97,""calories"":8}",1749494665
8283944169,764345307,heart_rate,1749470700,"{""time"":1749470700,""bpm"":180}",1749494665
8283944169,764345307,calories,1749470700,"{""time"":1749470700,""calories"":8}",1749494665
8283944169,764345307,intensity,1749470700,"{""time"":1749470700}",1749494665
8283944169,764345307,calories,1749470640,"{""time"":1749470640,""calories"":7}",1749494665
8283944169,764345307,intensity,1749470640,"{""time"":1749470640}",1749494665
8283944169,764345307,steps,1749470640,"{""time"":1749470640,""steps"":156,""distance"":98,""calories"":7}",1749494665
8283944169,764345307,heart_rate,1749470640,"{""time"":1749470640,""bpm"":183}",1749494665
8283944169,764345307,calories,1749470580,"{""time"":1749470580,""calories"":8}",1749494665
8283944169,764345307,steps,1749470580,"{""time"":1749470580,""steps"":156,""distance"":98,""calories"":8}",1749494665
8283944169,764345307,heart_rate,1749470580,"{""time"":1749470580,""bpm"":138}",1749494665
8283944169,764345307,intensity,1749470580,"{""time"":1749470580}",1749494665
8283944169,764345307,heart_rate,1749470520,"{""time"":1749470520,""bpm"":121}",1749494665
8283944169,764345307,steps,1749470520,"{""time"":1749470520,""steps"":157,""distance"":99,""calories"":8}",1749494665
8283944169,764345307,calories,1749470520,"{""time"":1749470520,""calories"":8}",1749494665
8283944169,764345307,intensity,1749470520,"{""time"":1749470520}",1749494665
8283944169,764345307,intensity,1749470460,"{""time"":1749470460}",1749494665
8283944169,764345307,steps,1749470460,"{""time"":1749470460,""steps"":157,""distance"":99,""calories"":8}",1749494665
8283944169,764345307,calories,1749470460,"{""time"":1749470460,""calories"":8}",1749494665
8283944169,764345307,heart_rate,1749470460,"{""time"":1749470460,""bpm"":116}",1749494665
8283944169,764345307,valid_stand,1749470400,"{""start_time"":1749470400,""end_time"":1749474000}",1749494666
8283944169,764345307,calories,1749470400,"{""time"":1749470400,""calories"":9}",1749494665
8283944169,764345307,intensity,1749470400,"{""time"":1749470400}",1749494665
8283944169,764345307,steps,1749470400,"{""time"":1749470400,""steps"":157,""distance"":99,""calories"":9}",1749494665
8283944169,764345307,heart_rate,1749470400,"{""time"":1749470400,""bpm"":156}",1749494665
